1,556553954383169e-9; 7,892166913454471e-10
1,6179132208557952e-9; 4,915738648921705e-10
1,703504493875598e-9; 2,9328491084381356e-10
1,770656542079703e-9; 1,7498090332270085e-10
1,888510496367829e-9; 1,1378231519260375e-10
2,1482734059835436e-9; 8,788712009482782e-11
2,5075738451051284e-9; 7,724145878562719e-11
2,8894880022266055e-9; 8,063842859660682e-11
3,41650522742974e-9; 8,788712009482782e-11
3,9879184493490985e-9; 9,999999999999959e-11
4,654900987996778e-9; 1,187863000449018e-10
5,363862197966701e-9; 1,4110185078357432e-10
6,180801214239723e-9; 1,7498090332270085e-10
7,122163515764578e-9; 2,078533408421838e-10
8,313351039467296e-9; 2,577596618133122e-10
9,579509745537186e-9; 3,1964866664596356e-10
1,1038509805393996e-8; 3,9639744004065507e-10
1,2556846838937415e-8; 5,131925863036849e-10
1,446930799574739e-8; 6,644004325811306e-10
1,6459548215396734e-8; 8,601603892866366e-10
1,89664073834943e-8; 1,1135993581813198e-9
2,1855071860366717e-8; 1,505116419197823e-9
2,48612172152526e-8; 1,8665001853237387e-9
2,864768629025557e-8; 2,4164486464502692e-9
3,301085070289301e-8; 3,128434760866923e-9
3,803854360480607e-8; 4,050201549856087e-9
4,327071085160337e-8; 5,474163404426341e-9
4,9222557967926464e-8; 7,398758952977412e-9
5,599307626849637e-8; 9,999999999999959e-9
6,369487323378381e-8; 1,351578023227227e-8
7,152825200159256e-8; 1,8267631528708225e-8
8,136689832915885e-8; 2,5775966181331163e-8
9,137363358765718e-8; 3,4838229418135506e-8
1,0394199419171017e-7; 4,915738648921705e-8
1,1672507969054741e-7; 6,644004325811292e-8
1,310802658224473e-7; 9,374813069860511e-8
