1.0857275242181234e-10, -13.783532457700504
1.203504317049418e-10, -13.69107400407409
1.5555407973768567e-10, -13.697973888673076
2.0759995365858376e-10, -13.71637358093704
2.770394544002828e-10, -13.754322946231465
3.697071465947445e-10, -13.79112233075939
5.09375464859398e-10, -13.869321022881234
6.796274754891408e-10, -13.957869541901557
9.067878342384272e-10, -14.045268080155383
1.2594596291674817e-9, -14.113691935761995
1.6353738835263328e-9, -14.176825879842719
2.224276135432951e-9, -14.277564194987917
2.874064791377821e-9, -14.36266277170875
3.834960854275366e-9, -14.43166161769861
5.455710955874335e-9, -14.52251009825193
7.279241202465473e-9, -14.609908636505754
9.712065657909383e-9, -14.703057078592067
1.2958471344325162e-8, -14.785855693779903
1.7290406075291576e-8, -14.86290440513525
2.3070774159638883e-8, -14.936503174191103
3.3886428447210315e-8, -15.063001058505849
4.521251887402549e-8, -15.151549577526174
6.032549108198032e-8, -15.234348192714007
8.049569468606676e-8, -15.298747115637878
1.0740031576184596e-7, -15.387295634658203
1.3877096183514466e-7, -15.481594057511014
1.8397370334931685e-7, -15.56370268423895
2.4546782863390627e-7, -15.64857126480648
3.275242110797929e-7, -15.727229949234923
4.397784287674049e-7, -15.833488172059312
5.867285278406454e-7, -15.940436383343597
8.082300441368034e-7, -16.069809219574587
0.0000010781886654548135, -16.203781978871568
0.0000014850139126480446, -16.371679170780236
0.0000019810054272595255, -16.50852688199346
0.000002642735926233349, -16.637324727841204
0.0000035251787155077265, -16.791422150551895
0.000005013403912528572, -16.96851918859254
0.000006687841733218256, -17.10651688057227
0.00000892122446178303, -17.253714418683973
0.000012686904084288179, -17.443461245156094
0.00001692401468390207, -17.58490887943531
0.00002257717739237242, -17.714856706049552
0.000030118934231099686, -17.842504571130796
0.00003909196928717792, -17.958652628547064
0.00004421231755727683, -18.13045975506182
0.00005713081089629011, -18.203598531811075
0.00007620880731308548, -18.353096031455777
0.00010165545391782144, -18.508343434932968
0.00013559948949463772, -18.66244085764366
0.00018088017917332376, -18.813088338054857
0.00024128554814951093, -18.959135895400067
0.0003218606904112042, -19.10748341427827
0.0004293303654568233, -19.263880798521956
0.0005727111522465795, -19.40762839433417
0.000763962899071182, -19.55597591321237
0.0010190510379961134, -19.71237329745606
0.0013593481867047843, -19.861870797100764
0.0018132671166660088, -20.01366825827846
0.002418667649960173, -20.175815546354634
0.003226208696359089, -20.336812853664313
0.004303388655338735, -20.496660180207495
0.005740295348707805, -20.65305756445118
0.007656791072745114, -20.816354833293854
0.010213272277126928, -20.976202159837037
0.013623089729403027, -21.14064940944621
0.018171003763795265, -21.309696582121372
0.023849723991301867, -21.499587156189303
0.0313045001909234, -21.677690427400634
0.03793333353889877, -21.782913667535176
0.04595919028085578, -21.927190254499976
0.05343507454392728, -22.06309826714401
0.0685543958588194, -22.218900125633617
0.08998743406878583, -22.382628637263725
0.10115183896158605, -22.56087565607087
