1,556553954383169e-9; 1,4417119713804967e-15
1,6388991832633705e-9; 8,601603892866401e-16
1,7256006612155932e-9; 5,357620684224841e-16
1,864328282667429e-9; 3,4838229418135504e-16
2,1207649506742953e-9; 2,4690129310614883e-16
2,412474250282489e-9; 2,078533408421838e-16
2,8524883580684196e-9; 2,1699443598788565e-16
3,2869344618579787e-9; 2,265375435338886e-16
3,836676869979791e-9; 2,5775966181331215e-16
4,478364133952711e-9; 3,0618316527628635e-16
5,160438030536142e-9; 3,6370365339206704e-16
6,023525403524651e-9; 4,138304372695785e-16
7,030964827444516e-9; 4,915738648921725e-16
8,10181066158248e-9; 6,364119381231064e-16
9,216207385697044e-9; 7,892166913454503e-16
1,0757625415400992e-8; 1,0217527008854236e-15
1,2396057500330908e-8; 1,267079131708692e-15
1,428402975730334e-8; 1,6404132594456714e-15
1,624878512293717e-8; 2,0342822745862444e-15
1,872354417603069e-8; 2,6336663063706505e-15
2,157521955391592e-8; 3,4096537633759742e-15
2,454287147732438e-8; 4,4142793481399525e-15
2,8280855143049674e-8; 5,7149093473119736e-15
3,2170861172938395e-8; 7,398758952977412e-15
3,707062009837077e-8; 9,578740574425965e-15
4,2716633138615165e-8; 1,2401035305418573e-14
4,9222557967926464e-8; 1,6054895260116528e-14
5,5276089765815124e-8; 2,1699443598788563e-14
6,369487323378381e-8; 2,932849108438147e-14
7,152825200159256e-8; 3,9639744004065667e-14
8,242230887129768e-8; 5,3576206842248404e-14
9,255884155480644e-8; 7,241242373585943e-14
1,052902264420912e-7; 9,787104053000563e-14
1,1977280179833002e-7; 1,3228034749073683e-13
1,3624744228764644e-7; 1,787872105733415e-13
1,549881546662155e-7; 2,416448646450279e-13
1,763066350715396e-7; 3,266018884799377e-13
1,979893323072208e-7; 4,608413093392994e-13
2,2522258577968605e-7; 6,50255616653011e-13
2,529211073703031e-7; 9,175227099215464e-13
2,877101767877611e-7; 1,2946415250589133e-12
3,230936021045793e-7; 1,8267631528708264e-12
3,5818259422117283e-7; 2,5775966181331217e-12
4,02232920191248e-7; 3,796988242516022e-12
4,517006819870062e-7; 5,593241243560759e-12
5,007568117464922e-7; 7,892166913454503e-12
5,551405931189743e-7; 1,1625738786103944e-11
6,15430626003154e-7; 1,7125563081073052e-11
6,563933599613153e-7; 2,2171465104773038e-11
7,000825516263741e-7; 3,559605500204596e-11
7,371185038889824e-7; 5,714909347311973e-11
7,861807180438667e-7; 9,175227099215427e-11
