1,5366224155151078e-9; 2,6336663063706505e-15
1,6816912660488416e-9; 1,7125563081073123e-15
1,9130063777118995e-9; 1,787872105733415e-15
2,1482734059835436e-9; 2,416448646450279e-15
2,412474250282489e-9; 3,559605500204611e-15
2,6744766217260603e-9; 5,022669241382635e-15
3,0033914514445406e-9; 7,398758952977412e-15
3,3295693091189635e-9; 1,089891279187522e-14
3,6911711188679188e-9; 1,6054895260116528e-14
4,145121962992578e-9; 2,365003434154125e-14
4,536453022869048e-9; 3,4838229418135644e-14
5,029126239917861e-9; 5,5932412435607814e-14
5,503914031276063e-9; 8,239253221373973e-14
6,101656588837877e-9; 1,267079131708692e-13
6,677699407657237e-9; 1,866500185323746e-13
7,402918787880118e-9; 2,870409939603396e-13
8,10181066158248e-9; 4,228323669887876e-13
8,866683247099061e-9; 6,50255616653011e-13
9,829633229801225e-9; 1e-12
1,0897162641286917e-8; 1,5378567664623793e-12
1,1925937727794285e-8; 2,265375435338877e-12
1,3221132470703803e-8; 3,4838229418135503e-12
1,446930799574739e-8; 5,131925863036849e-12
1,604072083366238e-8; 7,892166913454503e-12
1,7555086958727637e-8; 1,2137022289906469e-11
1,946162519993215e-8; 1,7878721057334078e-11
2,1298950732064356e-8; 2,7494912153714636e-11
2,3309733777448677e-8; 4,228323669887876e-11
2,5510350045439454e-8; 6,228629858982599e-11
2,8280855143049674e-8; 9,999999999999959e-11
3,0950783100815374e-8; 1,537856766462373e-10
3,3872772577357776e-8; 2,265375435338877e-10
3,707062009837077e-8; 3,4838229418135504e-10
4,1096607267153845e-8; 5,35762068422484e-10
4,497643976008546e-8; 8,239253221373973e-10
4,9222557967926464e-8; 1,2670791317086867e-9
5,386954204979245e-8; 1,94858621634148e-9
5,89552367949929e-8; 2,8704099396033846e-9
6,452105982896623e-8; 4,414279348139934e-9
7,152825200159256e-8; 6,788529364592139e-9
7,828106335836304e-8; 1,0439785817666555e-8
8,567139149967764e-8; 1,537856766462373e-8
9,37594228618377e-8; 2,3650034341541106e-8
1,0394199419171017e-7; 3,637036533920663e-8
1,1375490949694567e-7; 5,593241243560759e-8
1,2449423868846922e-7; 8,239253221373956e-8
